matrix size: 34 	 crout: 0.004000186920166016[s] 	 doolittle: 0.00999903678894043[s] 	 cholesky: 0.005002260208129883[s]
matrix size: 68 	 crout: 0.029972553253173828[s] 	 doolittle: 0.06500053405761719[s] 	 cholesky: 0.0410008430480957[s]
matrix size: 43 	 crout: 0.0070002079010009766[s] 	 doolittle: 0.017027616500854492[s] 	 cholesky: 0.010004281997680664[s]
matrix size: 18 	 crout: 0.0[s] 	 doolittle: 0.0020041465759277344[s] 	 cholesky: 0.0009965896606445312[s]
matrix size: 19 	 crout: 0.0[s] 	 doolittle: 0.002999544143676758[s] 	 cholesky: 0.0009989738464355469[s]
matrix size: 46 	 crout: 0.007001638412475586[s] 	 doolittle: 0.020964384078979492[s] 	 cholesky: 0.012044429779052734[s]
matrix size: 18 	 crout: 0.0009891986846923828[s] 	 doolittle: 0.002000570297241211[s] 	 cholesky: 0.0010027885437011719[s]
matrix size: 31 	 crout: 0.0030014514923095703[s] 	 doolittle: 0.006997108459472656[s] 	 cholesky: 0.004964113235473633[s]
matrix size: 43 	 crout: 0.006035804748535156[s] 	 doolittle: 0.017000675201416016[s] 	 cholesky: 0.010001182556152344[s]
matrix size: 40 	 crout: 0.00599980354309082[s] 	 doolittle: 0.015996932983398438[s] 	 cholesky: 0.009003400802612305[s]
matrix size: 68 	 crout: 0.03103351593017578[s] 	 doolittle: 0.06396603584289551[s] 	 cholesky: 0.03503537178039551[s]
matrix size: 65 	 crout: 0.019002914428710938[s] 	 doolittle: 0.050995588302612305[s] 	 cholesky: 0.030999422073364258[s]
matrix size: 64 	 crout: 0.016992807388305664[s] 	 doolittle: 0.05000782012939453[s] 	 cholesky: 0.02799248695373535[s]
matrix size: 59 	 crout: 0.01396942138671875[s] 	 doolittle: 0.038994550704956055[s] 	 cholesky: 0.02403545379638672[s]
matrix size: 12 	 crout: 0.0[s] 	 doolittle: 0.0009989738464355469[s] 	 cholesky: 0.0[s]
matrix size: 21 	 crout: 0.0009946823120117188[s] 	 doolittle: 0.003005504608154297[s] 	 cholesky: 0.001965045928955078[s]
matrix size: 54 	 crout: 0.011034965515136719[s] 	 doolittle: 0.03199934959411621[s] 	 cholesky: 0.017966270446777344[s]
matrix size: 38 	 crout: 0.004999876022338867[s] 	 doolittle: 0.012034416198730469[s] 	 cholesky: 0.006966352462768555[s]
matrix size: 13 	 crout: 0.0010335445404052734[s] 	 doolittle: 0.0010080337524414062[s] 	 cholesky: 0.0[s]
matrix size: 77 	 crout: 0.028977394104003906[s] 	 doolittle: 0.08496308326721191[s] 	 cholesky: 0.05599713325500488[s]
matrix size: 76 	 crout: 0.028036117553710938[s] 	 doolittle: 0.08796405792236328[s] 	 cholesky: 0.04403424263000488[s]
matrix size: 28 	 crout: 0.0010025501251220703[s] 	 doolittle: 0.006964445114135742[s] 	 cholesky: 0.0030341148376464844[s]
matrix size: 31 	 crout: 0.002000093460083008[s] 	 doolittle: 0.00800013542175293[s] 	 cholesky: 0.005000591278076172[s]
matrix size: 35 	 crout: 0.003000974655151367[s] 	 doolittle: 0.010963201522827148[s] 	 cholesky: 0.006036996841430664[s]
matrix size: 31 	 crout: 0.001998424530029297[s] 	 doolittle: 0.007998943328857422[s] 	 cholesky: 0.004002571105957031[s]
matrix size: 19 	 crout: 0.0010030269622802734[s] 	 doolittle: 0.0029592514038085938[s] 	 cholesky: 0.0010077953338623047[s]
matrix size: 16 	 crout: 0.0[s] 	 doolittle: 0.0020263195037841797[s] 	 cholesky: 0.0009996891021728516[s]
matrix size: 26 	 crout: 0.002004861831665039[s] 	 doolittle: 0.004995584487915039[s] 	 cholesky: 0.0020046234130859375[s]
matrix size: 51 	 crout: 0.008999824523925781[s] 	 doolittle: 0.0269930362701416[s] 	 cholesky: 0.01600790023803711[s]
matrix size: 53 	 crout: 0.010963201522827148[s] 	 doolittle: 0.031002521514892578[s] 	 cholesky: 0.01699972152709961[s]
matrix size: 62 	 crout: 0.016997098922729492[s] 	 doolittle: 0.048027992248535156[s] 	 cholesky: 0.028974056243896484[s]
matrix size: 26 	 crout: 0.0019996166229248047[s] 	 doolittle: 0.0050013065338134766[s] 	 cholesky: 0.003998994827270508[s]
matrix size: 69 	 crout: 0.025041818618774414[s] 	 doolittle: 0.06399250030517578[s] 	 cholesky: 0.03501248359680176[s]
matrix size: 36 	 crout: 0.003999948501586914[s] 	 doolittle: 0.011980533599853516[s] 	 cholesky: 0.005979061126708984[s]
matrix size: 50 	 crout: 0.007964372634887695[s] 	 doolittle: 0.026040315628051758[s] 	 cholesky: 0.01500248908996582[s]
matrix size: 14 	 crout: 0.0[s] 	 doolittle: 0.0009965896606445312[s] 	 cholesky: 0.0009613037109375[s]
matrix size: 68 	 crout: 0.021997928619384766[s] 	 doolittle: 0.05903744697570801[s] 	 cholesky: 0.03396487236022949[s]
matrix size: 21 	 crout: 0.0[s] 	 doolittle: 0.003034830093383789[s] 	 cholesky: 0.002003192901611328[s]
matrix size: 52 	 crout: 0.009996175765991211[s] 	 doolittle: 0.030965566635131836[s] 	 cholesky: 0.02001166343688965[s]
matrix size: 40 	 crout: 0.005999326705932617[s] 	 doolittle: 0.016000032424926758[s] 	 cholesky: 0.009999752044677734[s]
matrix size: 70 	 crout: 0.029959440231323242[s] 	 doolittle: 0.06503701210021973[s] 	 cholesky: 0.03597736358642578[s]
matrix size: 75 	 crout: 0.02696371078491211[s] 	 doolittle: 0.07700109481811523[s] 	 cholesky: 0.04804372787475586[s]
matrix size: 115 	 crout: 0.12499713897705078[s] 	 doolittle: 0.2540397644042969[s] 	 cholesky: 0.14496278762817383[s]
matrix size: 57 	 crout: 0.013619184494018555[s] 	 doolittle: 0.037133216857910156[s] 	 cholesky: 0.021053791046142578[s]
matrix size: 118 	 crout: 0.10619258880615234[s] 	 doolittle: 0.2760009765625[s] 	 cholesky: 0.15203285217285156[s]
matrix size: 86 	 crout: 0.04597616195678711[s] 	 doolittle: 0.11302685737609863[s] 	 cholesky: 0.06400632858276367[s]
matrix size: 126 	 crout: 0.12900090217590332[s] 	 doolittle: 0.3299999237060547[s] 	 cholesky: 0.18738460540771484[s]
matrix size: 58 	 crout: 0.014060497283935547[s] 	 doolittle: 0.039174795150756836[s] 	 cholesky: 0.022000789642333984[s]
matrix size: 115 	 crout: 0.09752106666564941[s] 	 doolittle: 0.2553892135620117[s] 	 cholesky: 0.14426517486572266[s]
matrix size: 149 	 crout: 0.21403837203979492[s] 	 doolittle: 0.5904622077941895[s] 	 cholesky: 0.3100104331970215[s]
matrix size: 79 	 crout: 0.030955791473388672[s] 	 doolittle: 0.09203815460205078[s] 	 cholesky: 0.049009084701538086[s]
matrix size: 95 	 crout: 0.05695056915283203[s] 	 doolittle: 0.16303634643554688[s] 	 cholesky: 0.08796477317810059[s]
matrix size: 156 	 crout: 0.23500370979309082[s] 	 doolittle: 0.607999324798584[s] 	 cholesky: 0.34705162048339844[s]
matrix size: 56 	 crout: 0.014034509658813477[s] 	 doolittle: 0.03897905349731445[s] 	 cholesky: 0.02602410316467285[s]
matrix size: 85 	 crout: 0.04596757888793945[s] 	 doolittle: 0.11703252792358398[s] 	 cholesky: 0.061963558197021484[s]
matrix size: 54 	 crout: 0.011999368667602539[s] 	 doolittle: 0.032000064849853516[s] 	 cholesky: 0.018000125885009766[s]
matrix size: 101 	 crout: 0.0680398941040039[s] 	 doolittle: 0.17495989799499512[s] 	 cholesky: 0.10100388526916504[s]
matrix size: 47 	 crout: 0.008041143417358398[s] 	 doolittle: 0.022988319396972656[s] 	 cholesky: 0.011969804763793945[s]
matrix size: 111 	 crout: 0.08796525001525879[s] 	 doolittle: 0.23412537574768066[s] 	 cholesky: 0.13801002502441406[s]
matrix size: 72 	 crout: 0.028000831604003906[s] 	 doolittle: 0.07495713233947754[s] 	 cholesky: 0.04201030731201172[s]
matrix size: 52 	 crout: 0.009997129440307617[s] 	 doolittle: 0.031003475189208984[s] 	 cholesky: 0.01698923110961914[s]
matrix size: 66 	 crout: 0.020008563995361328[s] 	 doolittle: 0.05496335029602051[s] 	 cholesky: 0.03203630447387695[s]
matrix size: 60 	 crout: 0.015000581741333008[s] 	 doolittle: 0.04399728775024414[s] 	 cholesky: 0.024964332580566406[s]
matrix size: 61 	 crout: 0.019035816192626953[s] 	 doolittle: 0.0509638786315918[s] 	 cholesky: 0.02700042724609375[s]
matrix size: 109 	 crout: 0.09603548049926758[s] 	 doolittle: 0.22900128364562988[s] 	 cholesky: 0.12399911880493164[s]
matrix size: 156 	 crout: 0.24954605102539062[s] 	 doolittle: 0.608046293258667[s] 	 cholesky: 0.3479905128479004[s]
matrix size: 115 	 crout: 0.09803509712219238[s] 	 doolittle: 0.25199055671691895[s] 	 cholesky: 0.14397335052490234[s]
matrix size: 120 	 crout: 0.11102747917175293[s] 	 doolittle: 0.2839663028717041[s] 	 cholesky: 0.16305255889892578[s]
matrix size: 40 	 crout: 0.004950523376464844[s] 	 doolittle: 0.015042781829833984[s] 	 cholesky: 0.007999897003173828[s]
matrix size: 87 	 crout: 0.043952226638793945[s] 	 doolittle: 0.12103867530822754[s] 	 cholesky: 0.06600379943847656[s]
matrix size: 158 	 crout: 0.2750060558319092[s] 	 doolittle: 0.6319575309753418[s] 	 cholesky: 0.37004566192626953[s]
matrix size: 135 	 crout: 0.14995527267456055[s] 	 doolittle: 0.3935518264770508[s] 	 cholesky: 0.23499846458435059[s]
matrix size: 117 	 crout: 0.10103654861450195[s] 	 doolittle: 0.2669706344604492[s] 	 cholesky: 0.15099287033081055[s]
matrix size: 66 	 crout: 0.019034624099731445[s] 	 doolittle: 0.053992509841918945[s] 	 cholesky: 0.031008005142211914[s]
matrix size: 75 	 crout: 0.028001070022583008[s] 	 doolittle: 0.07899355888366699[s] 	 cholesky: 0.0440065860748291[s]
matrix size: 112 	 crout: 0.09396767616271973[s] 	 doolittle: 0.23799943923950195[s] 	 cholesky: 0.13503170013427734[s]
matrix size: 64 	 crout: 0.02096724510192871[s] 	 doolittle: 0.05103421211242676[s] 	 cholesky: 0.02900099754333496[s]
matrix size: 53 	 crout: 0.011045455932617188[s] 	 doolittle: 0.03291630744934082[s] 	 cholesky: 0.016999244689941406[s]
matrix size: 93 	 crout: 0.05602669715881348[s] 	 doolittle: 0.1389751434326172[s] 	 cholesky: 0.07958650588989258[s]
matrix size: 101 	 crout: 0.06600475311279297[s] 	 doolittle: 0.1996629238128662[s] 	 cholesky: 0.10700654983520508[s]
matrix size: 122 	 crout: 0.11898422241210938[s] 	 doolittle: 0.2985081672668457[s] 	 cholesky: 0.17096471786499023[s]
matrix size: 105 	 crout: 0.07895660400390625[s] 	 doolittle: 0.1999976634979248[s] 	 cholesky: 0.11600208282470703[s]
matrix size: 129 	 crout: 0.13203740119934082[s] 	 doolittle: 0.37504076957702637[s] 	 cholesky: 0.19696426391601562[s]
matrix size: 65 	 crout: 0.01903700828552246[s] 	 doolittle: 0.055966854095458984[s] 	 cholesky: 0.031024694442749023[s]
matrix size: 73 	 crout: 0.02897191047668457[s] 	 doolittle: 0.07202577590942383[s] 	 cholesky: 0.04697751998901367[s]
matrix size: 152 	 crout: 0.24402976036071777[s] 	 doolittle: 0.5900681018829346[s] 	 cholesky: 0.3259739875793457[s]
matrix size: 127 	 crout: 0.13299822807312012[s] 	 doolittle: 0.8408122062683105[s] 	 cholesky: 0.23700237274169922[s]
matrix size: 94 	 crout: 0.07748198509216309[s] 	 doolittle: 0.18411827087402344[s] 	 cholesky: 0.12105202674865723[s]
matrix size: 93 	 crout: 0.0857839584350586[s] 	 doolittle: 0.3311007022857666[s] 	 cholesky: 0.13498973846435547[s]
matrix size: 140 	 crout: 0.21999359130859375[s] 	 doolittle: 0.5601966381072998[s] 	 cholesky: 0.30001401901245117[s]
matrix size: 70 	 crout: 0.03600645065307617[s] 	 doolittle: 0.08098959922790527[s] 	 cholesky: 0.054033756256103516[s]
matrix size: 129 	 crout: 0.20702409744262695[s] 	 doolittle: 0.49663424491882324[s] 	 cholesky: 0.2529261112213135[s]
matrix size: 143 	 crout: 0.25600647926330566[s] 	 doolittle: 0.6784675121307373[s] 	 cholesky: 0.33942079544067383[s]
matrix size: 81 	 crout: 0.04502606391906738[s] 	 doolittle: 0.12700176239013672[s] 	 cholesky: 0.07301115989685059[s]
matrix size: 95 	 crout: 0.07403874397277832[s] 	 doolittle: 0.20695972442626953[s] 	 cholesky: 0.11100077629089355[s]
matrix size: 60 	 crout: 0.01597118377685547[s] 	 doolittle: 0.07401156425476074[s] 	 cholesky: 0.03748750686645508[s]
matrix size: 70 	 crout: 0.03599739074707031[s] 	 doolittle: 0.09409666061401367[s] 	 cholesky: 0.05200028419494629[s]
matrix size: 55 	 crout: 0.014007329940795898[s] 	 doolittle: 0.04299044609069824[s] 	 cholesky: 0.021004438400268555[s]
matrix size: 51 	 crout: 0.012006521224975586[s] 	 doolittle: 0.039023399353027344[s] 	 cholesky: 0.024967670440673828[s]
matrix size: 108 	 crout: 0.10399508476257324[s] 	 doolittle: 0.2750363349914551[s] 	 cholesky: 0.15196466445922852[s]
matrix size: 142 	 crout: 0.2609677314758301[s] 	 doolittle: 0.6080317497253418[s] 	 cholesky: 0.43216681480407715[s]
matrix size: 63 	 crout: 0.026035785675048828[s] 	 doolittle: 0.06101679801940918[s] 	 cholesky: 0.05000114440917969[s]
matrix size: 66 	 crout: 0.03100275993347168[s] 	 doolittle: 0.08653450012207031[s] 	 cholesky: 0.03998684883117676[s]
matrix size: 56 	 crout: 0.019970178604125977[s] 	 doolittle: 0.048030853271484375[s] 	 cholesky: 0.021970748901367188[s]
matrix size: 104 	 crout: 0.10404372215270996[s] 	 doolittle: 0.2499699592590332[s] 	 cholesky: 0.15300917625427246[s]
matrix size: 94 	 crout: 0.09699749946594238[s] 	 doolittle: 0.21860861778259277[s] 	 cholesky: 0.1309645175933838[s]
matrix size: 154 	 crout: 0.343029260635376[s] 	 doolittle: 0.8500609397888184[s] 	 cholesky: 0.44623279571533203[s]
matrix size: 66 	 crout: 0.025984764099121094[s] 	 doolittle: 0.0740365982055664[s] 	 cholesky: 0.033998966217041016[s]
matrix size: 80 	 crout: 0.05376839637756348[s] 	 doolittle: 0.12303543090820312[s] 	 cholesky: 0.06901431083679199[s]
matrix size: 145 	 crout: 0.27213382720947266[s] 	 doolittle: 0.7080130577087402[s] 	 cholesky: 0.3539462089538574[s]
matrix size: 75 	 crout: 0.03497481346130371[s] 	 doolittle: 0.09499812126159668[s] 	 cholesky: 0.057009220123291016[s]
matrix size: 44 	 crout: 0.006027698516845703[s] 	 doolittle: 0.02097010612487793[s] 	 cholesky: 0.014994382858276367[s]
matrix size: 96 	 crout: 0.07503724098205566[s] 	 doolittle: 0.2169933319091797[s] 	 cholesky: 0.10796785354614258[s]
matrix size: 55 	 crout: 0.01400446891784668[s] 	 doolittle: 0.047005653381347656[s] 	 cholesky: 0.02798938751220703[s]
matrix size: 80 	 crout: 0.04706406593322754[s] 	 doolittle: 0.1339561939239502[s] 	 cholesky: 0.08098030090332031[s]
matrix size: 88 	 crout: 0.0776515007019043[s] 	 doolittle: 0.19103479385375977[s] 	 cholesky: 0.10501241683959961[s]
matrix size: 129 	 crout: 0.20408177375793457[s] 	 doolittle: 0.4951016902923584[s] 	 cholesky: 0.257976770401001[s]
matrix size: 117 	 crout: 0.13200855255126953[s] 	 doolittle: 0.40197324752807617[s] 	 cholesky: 0.19799566268920898[s]
matrix size: 63 	 crout: 0.0250091552734375[s] 	 doolittle: 0.07302069664001465[s] 	 cholesky: 0.03997921943664551[s]
matrix size: 75 	 crout: 0.04398393630981445[s] 	 doolittle: 0.11201643943786621[s] 	 cholesky: 0.06101083755493164[s]
matrix size: 125 	 crout: 0.15102076530456543[s] 	 doolittle: 0.5149810314178467[s] 	 cholesky: 0.25300049781799316[s]
matrix size: 73 	 crout: 0.03905010223388672[s] 	 doolittle: 0.11697506904602051[s] 	 cholesky: 0.05397534370422363[s]
matrix size: 125 	 crout: 0.22699904441833496[s] 	 doolittle: 0.5040178298950195[s] 	 cholesky: 0.2720029354095459[s]
matrix size: 127 	 crout: 0.16559219360351562[s] 	 doolittle: 0.5719599723815918[s] 	 cholesky: 0.24699974060058594[s]
matrix size: 74 	 crout: 0.04100513458251953[s] 	 doolittle: 0.11002588272094727[s] 	 cholesky: 0.07500290870666504[s]
matrix size: 65 	 crout: 0.028965473175048828[s] 	 doolittle: 0.0780022144317627[s] 	 cholesky: 0.0409998893737793[s]
matrix size: 52 	 crout: 0.020998001098632812[s] 	 doolittle: 0.046998023986816406[s] 	 cholesky: 0.027016639709472656[s]
matrix size: 145 	 crout: 0.30899524688720703[s] 	 doolittle: 0.8139986991882324[s] 	 cholesky: 0.4520447254180908[s]
matrix size: 110 	 crout: 0.15096831321716309[s] 	 doolittle: 0.35199475288391113[s] 	 cholesky: 0.20300054550170898[s]
matrix size: 147 	 crout: 0.39902544021606445[s] 	 doolittle: 0.8090763092041016[s] 	 cholesky: 0.45090150833129883[s]
matrix size: 95 	 crout: 0.09499144554138184[s] 	 doolittle: 0.21401596069335938[s] 	 cholesky: 0.1270005702972412[s]
matrix size: 115 	 crout: 0.1660139560699463[s] 	 doolittle: 0.4080216884613037[s] 	 cholesky: 0.21704792976379395[s]
matrix size: 138 	 crout: 0.29100871086120605[s] 	 doolittle: 0.7255387306213379[s] 	 cholesky: 0.35502147674560547[s]
matrix size: 128 	 crout: 0.2302074432373047[s] 	 doolittle: 0.558673620223999[s] 	 cholesky: 0.3080008029937744[s]
matrix size: 46 	 crout: 0.009043216705322266[s] 	 doolittle: 0.02395462989807129[s] 	 cholesky: 0.01604437828063965[s]
matrix size: 92 	 crout: 0.07998991012573242[s] 	 doolittle: 0.21814703941345215[s] 	 cholesky: 0.11199736595153809[s]
matrix size: 106 	 crout: 0.1380174160003662[s] 	 doolittle: 0.28304290771484375[s] 	 cholesky: 0.17199063301086426[s]
matrix size: 67 	 crout: 0.03397965431213379[s] 	 doolittle: 0.08303165435791016[s] 	 cholesky: 0.041968584060668945[s]
matrix size: 51 	 crout: 0.016035795211791992[s] 	 doolittle: 0.036962270736694336[s] 	 cholesky: 0.0279996395111084[s]
matrix size: 76 	 crout: 0.0499875545501709[s] 	 doolittle: 0.115997314453125[s] 	 cholesky: 0.07100319862365723[s]
matrix size: 113 	 crout: 0.15303373336791992[s] 	 doolittle: 0.36496782302856445[s] 	 cholesky: 0.18599939346313477[s]
matrix size: 81 	 crout: 0.058008670806884766[s] 	 doolittle: 0.1429884433746338[s] 	 cholesky: 0.06903958320617676[s]
matrix size: 99 	 crout: 0.0769953727722168[s] 	 doolittle: 0.1639995574951172[s] 	 cholesky: 0.09700131416320801[s]
matrix size: 29 	 crout: 0.0019991397857666016[s] 	 doolittle: 0.00599980354309082[s] 	 cholesky: 0.004000186920166016[s]
matrix size: 59 	 crout: 0.013997077941894531[s] 	 doolittle: 0.04300093650817871[s] 	 cholesky: 0.02399921417236328[s]
matrix size: 56 	 crout: 0.014000415802001953[s] 	 doolittle: 0.03499937057495117[s] 	 cholesky: 0.022002696990966797[s]
matrix size: 54 	 crout: 0.01099395751953125[s] 	 doolittle: 0.03200030326843262[s] 	 cholesky: 0.019000530242919922[s]
matrix size: 46 	 crout: 0.006999015808105469[s] 	 doolittle: 0.021000146865844727[s] 	 cholesky: 0.014002084732055664[s]
matrix size: 49 	 crout: 0.008998870849609375[s] 	 doolittle: 0.026002168655395508[s] 	 cholesky: 0.017000198364257812[s]
matrix size: 30 	 crout: 0.0029993057250976562[s] 	 doolittle: 0.009027481079101562[s] 	 cholesky: 0.004972934722900391[s]
matrix size: 64 	 crout: 0.02200627326965332[s] 	 doolittle: 0.05202960968017578[s] 	 cholesky: 0.028003931045532227[s]
matrix size: 35 	 crout: 0.003999471664428711[s] 	 doolittle: 0.009996414184570312[s] 	 cholesky: 0.005990743637084961[s]
matrix size: 46 	 crout: 0.007003307342529297[s] 	 doolittle: 0.020006895065307617[s] 	 cholesky: 0.01200556755065918[s]
